name,steam_id,position,role,gp_s,pts,g,a,p_per_gp,shots,passes,exits,entries,hits,turnovers,takeaways,touches,possession_s,fow,fol,gp_g,sa,ga,body_sv,stick_sv,gaa,sv_pct,wins,so,sp,sp_per_gp,xG,xGA,team_id,player_key,toi_s,toi_g,toi_total,toi_gp_s,toi_gp_g,toi_gp,blocks,defensive_passes,offensive_passes,defensive_turnovers,offensive_turnovers,defensive_takeaways,offensive_takeaways
richardp,76561199237272742,S,,12,14,7,7,1.0628068222076017,38,120,22,46,3,16,10,917,630.8000000000001,15,6,0,0,0,0,0,0,0,0,0,1230.5,93.4131281947467,8.25,0.00,MOFO,name:richardp,11855.4,0,11855.4,987.9499999999999,0,987.9499999999999,1,39,80,2,15,7,3
rockhopper,76561198153082831,S,Alternate Captain,3,4,0,4,1.3333333333333333,2,24,6,1,0,0,2,111,88.5,0,0,0,0,0,0,0,0,0,0,0,212,70.66666666666667,0.57,0.00,MOFO,name:rockhopper,2700,0,2700,900,0,900,0,14,10,0,0,2,0
ronin,76561198162726240,S,,17,18,4,14,0.9546314356596092,15,215,108,67,1,24,34,1937,1375,0,0,0,0,0,0,0,0,0,0,0,1645,87.24270620333651,2.05,0.00,LBR,name:ronin,16969.899999999998,0,16969.899999999998,998.2294117647058,0,998.2294117647058,8,159,55,11,12,28,6
SiddedOn,76561199749591762,S,,20,20,4,16,0.9597798904784504,37,181,114,87,23,23,33,1839,1239.6,0,0,0,0,0,0,0,0,0,0,0,1828.5,87.74787648699233,4.39,0.00,RR,name:SiddedOn,18754.3,0,18754.3,937.7149999999999,0,937.7149999999999,12,147,29,4,18,27,5
silly,76561198353224230,S,Alternate Captain,20,14,1,13,0.6475053059462571,10,255,91,54,6,16,20,1422,909.3,0,0,0,0,0,0,0,0,0,0,0,1442.5,66.71617170196257,1.74,0.00,PP,name:silly,19459.3,0,19459.3,972.9649999999999,0,972.9649999999999,14,204,51,5,11,17,3
Skidz,,S,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,,name:Skidz,0,0,0,0,0,0,0,0,0,0,0,0,0
SoCanadian,76561198143149955,S,Alternate Captain,10,11,6,5,1.0876013446707533,35,107,22,33,15,15,19,893,652.1,9,11,0,0,0,0,0,0,0,0,0,1152.5,113.9509590666403,6.32,0.00,BRG,name:SoCanadian,9102.6,0,9102.6,910.26,0,910.26,2,43,64,3,12,16,3
stinkyshawn,76561198068115505,S,Alternate Captain,23,30,15,15,1.1602672912056038,91,240,73,132,9,46,42,2825,1976.0000000000002,66,77,0,0,0,0,0,0,0,0,0,2797.5,108.19492490492256,20.45,0.00,LBR,name:stinkyshawn,23270.499999999996,0,23270.499999999996,1011.7608695652173,0,1011.7608695652173,1,86,141,12,34,30,12
Sundin,76561197978559731,G,,0,0,0,0,0,0,16,0,0,0,0,0,69,34.400000000000006,0,0,6,45,7,10,28,1.3433408674143885,0.8444444444444444,3,2,620,118.98161968527442,0.00,8.89,BRG,name:Sundin,0,4689.8,4689.8,0,781.6333333333333,781.6333333333333,0,16,0,0,0,0,0
SupaWoov,76561198079525076,S/G,Captain,6,4,0,4,0.6666666666666666,6,74,28,22,7,6,6,424,296,0,0,0,0,0,0,0,0,0,0,0,437.5,72.91666666666667,0.80,0.00,LBR,name:SupaWoov,5400,0,5400,900,0,900,4,57,17,2,4,5,1
Sven,76561198055585043,S,,2,1,1,0,0.5,2,21,4,5,0,0,4,103,68.3,0,0,0,0,0,0,0,0,0,0,0,166.5,83.25,0.44,0.00,LBR,name:Sven,1800,0,1800,900,0,900,0,13,8,0,0,3,1
ttearr,76561198763818494,G,,0,1,0,1,0,0,17,6,2,0,0,0,101,35.3,0,0,6,71,13,16,42,2.1666666666666665,0.8169014084507042,2,1,752.5,125.41666666666667,0.00,18.15,BB,name:ttearr,0,5400,5400,0,900,900,0,17,0,0,0,0,0
v,76561198999789726,S,,21,43,6,37,1.972497171224987,41,261,145,98,17,30,26,2167,1656.2,0,0,0,0,0,0,0,0,0,0,0,2773,127.20313153039277,8.53,0.00,TOR,name:v,19619.8,0,19619.8,934.2761904761904,0,934.2761904761904,20,175,74,6,23,19,6
VanHiggy,76561198167026110,S,Alternate Captain,10,8,5,3,0.8212990212853329,32,91,26,59,0,16,9,945,719.3999999999999,19,24,0,0,0,0,0,0,0,0,0,880,90.34289234138662,6.94,0.00,BRG,name:VanHiggy,8766.6,0,8766.6,876.6600000000001,0,876.6600000000001,1,28,61,4,12,9,0
Vanxity,76561198050619245,S,,7,3,1,2,0.4939084622983207,8,63,22,25,3,5,7,429,295.3,8,4,0,0,0,0,0,0,0,0,0,419.5,69.06486664471518,1.71,0.00,BRG,name:Vanxity,5466.6,0,5466.6,780.9428571428572,0,780.9428571428572,3,36,26,1,4,6,1
walker,76561198157694887,S,,24,46,2,44,1.8544066794474405,19,343,98,58,3,8,30,1318,819.8,0,0,0,0,0,0,0,0,0,0,0,2846,114.73133499363946,3.10,0.00,TOR,name:walker,22325.2,0,22325.2,930.2166666666667,0,930.2166666666667,21,280,47,5,3,21,6
Winky,76561198064107575,S,,2,1,0,1,0.5,0,17,4,5,0,4,4,122,95.2,0,0,0,0,0,0,0,0,0,0,0,96.5,48.25,0.00,0.00,LBR,name:Winky,1800,0,1800,900,0,900,1,16,1,0,5,4,0
xittrix,,S,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,CG67,name:xittrix,0,0,0,0,0,0,0,0,0,0,0,0,0
Zen,76561198248012002,G,,0,6,0,6,0,0,65,25,7,0,0,3,337,86.1,0,0,22,186,31,24,132,1.3604712399305625,0.8333333333333334,10,3,2194.5,96.30819793637481,0.00,34.39,RR,name:Zen,0,20507.6,20507.6,0,932.1636363636363,932.1636363636363,0,63,0,0,0,3,0
Ziggy,,S,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,,name:Ziggy,0,0,0,0,0,0,0,0,0,0,0,0,0
